Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Lindsay Flick,M,NSW,B,Raw,52,,40,,40,
2,Jamie Bull,M,NSW,B,Raw,52,,35,,35,
3,Laiton Turnham,M,NSW,B,Raw,52,,32.5,,32.5,
1,Damien Flick,M,NSW,B,Raw,52,,48,,48,
1,Cody Tribe,M,NSW,B,Raw,56,,48,,48,
1,Jason Moore,M,NSW,B,Raw,56,,42.5,,42.5,
3,Matt Davis,M,NSW,B,Raw,56,,75,,75,
1,Christopher Booth,M,NSW,B,Raw,60,,65,,65,
3,Scott Cowburn,M,NSW,B,Raw,60,,52.5,,52.5,
4,Sam Tindal,M,NSW,B,Raw,60,,47.5,,47.5,
5,Lachlan Kennedy,M,NSW,B,Raw,60,,43,,43,
1,Luke Cox,M,NSW,B,Raw,60,,60,,60,
2,Edward Bell,M,NSW,B,Raw,60,,47.5,,47.5,
3,Tom Abbott,M,NSW,B,Raw,60,,45,,45,
1,Colin Hunter,M,NSW,B,Raw,60,,80,,80,
2,Tim Godwin,M,NSW,B,Raw,67.5,,55,,55,
3,Daniel Linigen,M,NSW,B,Raw,67.5,,62.5,,62.5,
1,Tom Bower,M,NSW,B,Raw,67.5,,60,,60,
2,Lachlan Scobie,M,NSW,B,Raw,67.5,,57.5,,57.5,
1,Aaron Reynolds,M,NSW,B,Raw,67.5,,92.5,,92.5,
2,Tim McDonald,M,NSW,B,Raw,67.5,,50,,50,
1,Sam Kelly,M,NSW,B,Raw,75,,65,,65,
2,Benjamin Hall,M,NSW,B,Raw,75,,59,,59,
3,Robert Northey,M,NSW,B,Raw,75,,57.5,,57.5,
4,Mark Turnel,M,NSW,B,Raw,75,,57.5,,57.5,
1,Jye Thornton,M,NSW,B,Raw,75,,110,,110,
4,Andrew Moore,M,NSW,B,Raw,75,,72.5,,72.5,
5,Kris Darnan,M,NSW,B,Raw,75,,72.5,,72.5,
6,David Brain,M,NSW,B,Raw,75,,70,,70,
7,Lee Farrell,M,NSW,B,Raw,75,,62.5,,62.5,
1,Andrew Jeffrey,M,NSW,B,Raw,75,,74.5,,74.5,
3,Michael Barkyl,M,NSW,B,Raw,82.5,,57.5,,57.5,
1,James Wauch,M,NSW,B,Raw,82.5,,74.5,,74.5,
1,Murray Dickinson,M,NSW,B,Raw,82.5,,107.5,,107.5,
2,Jordan Henry,M,NSW,B,Raw,82.5,,74.5,,74.5,
3,Peter Clark,M,NSW,B,Raw,82.5,,57.5,,57.5,
1,Matthew Baylis,M,NSW,B,Raw,90,,75,,75,
2,Kale Waters,M,NSW,B,Raw,90,,70,,70,
3,Toby Turnbull,M,NSW,B,Raw,90,,60,,60,
1,Richie Wilmott,M,NSW,B,Raw,90,,95,,95,
1,Geordie Marchant,M,NSW,B,Raw,100,,81.5,,81.5,
2,Brett Johnston,M,NSW,B,Raw,100,,62.5,,62.5,
1,Trent Nelson,M,NSW,B,Raw,110,,70,,70,
2,Kimberly Sheldrick,F,NSW,B,Raw,48,,32.5,,32.5,
3,Chloe Robertson,F,NSW,B,Raw,48,,20,,20,
1,Genevieve Furber,F,NSW,B,Raw,52,,30,,30,
2,Sheree Myers,F,NSW,B,Raw,56,,37.5,,37.5,
4,Renea Chapman,F,NSW,B,Raw,56,,25,,25,
4,Nicky Unger,F,NSW,B,Raw,56,,25,,25,
1,Sarah Spizewska,F,NSW,B,Raw,60,,60,,60,
1,Samantha Scobie,F,NSW,B,Raw,67.5,,32.5,,32.5,
4,Megan Whatmough,F,NSW,B,Raw,67.5,,22.5,,22.5,
