Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
2,Justin Spanos,M,VIC,B,Raw,56,,45,,45,
1,Todd Rigby,M,VIC,B,Raw,56,,42.5,,42.5,
2,Paul Cavallo,M,VIC,B,Raw,56,,40,,40,
2,Michael Sloper,M,VIC,B,Raw,60,,57.5,,57.5,
2,Nathan Davis,M,VIC,B,Raw,60,,55,,55,
3,Mark Van Gils,M,VIC,B,Raw,60,,55,,55,
3,Joel Hamilton,M,VIC,B,Raw,60,,55,,55,
5,Jarrod Bradshaw,M,VIC,B,Raw,60,,42.5,,42.5,
1,Joe Mack,M,VIC,B,Raw,67.5,,70,,70,
2,Nathan Ketting,M,VIC,B,Raw,67.5,,67.5,,67.5,
4,Mark Duscher,M,VIC,B,Raw,67.5,,47.5,,47.5,
1,Scott Harley,M,VIC,B,Raw,75,,55,,55,
5,Troy Britton,M,VIC,B,Raw,75,,52.5,,52.5,
5,Andrew Hines,M,VIC,B,Raw,75,,52.5,,52.5,
7,Blake Davis,M,VIC,B,Raw,75,,45,,45,
2,Reehan McBain,M,VIC,B,Raw,82.5,,65,,65,
1,Eban Traeger,M,VIC,B,Raw,82.5,,90,,90,
2,Anthony Hatfield,M,VIC,B,Raw,82.5,,65,,65,
3,Brian Collins,M,VIC,B,Raw,82.5,,52.5,,52.5,
1,Andrew Reid,M,VIC,B,Raw,90,,60,,60,
1,Brendon Gallagher,M,VIC,B,Raw,90,,65,,65,
2,Shane Maginness,M,VIC,B,Raw,90,,37.5,,37.5,
1,Kevin Olden,M,VIC,B,Raw,100,,45,,45,
1,Anthony Lee,M,VIC,B,Raw,110,,92.5,,92.5,
2,Stuart Hunt,M,VIC,B,Raw,110,,57.5,,57.5,
1,Renee White,F,VIC,B,Raw,44,,25,,25,
1,Lauren Hudson,F,VIC,B,Raw,44,,35,,35,
2,Jill Priestley,F,VIC,B,Raw,44,,30,,30,
1,Bree Bailey,F,VIC,B,Raw,48,,35,,35,
1,Julia Rowse,F,VIC,B,Raw,48,,35,,35,
2,Tara Hall,F,VIC,B,Raw,48,,25,,25,
2,Lauren Musgrove,F,VIC,B,Raw,52,,27.5,,27.5,
3,Jennifer Willcock,F,VIC,B,Raw,52,,27.5,,27.5,
1,Christie Riordan,F,VIC,B,Raw,52,,30,,30,
1,Rosanne Taglierini,F,VIC,B,Raw,56,,40,,40,
3,Sarah Hunyardi,F,VIC,B,Raw,56,,35,,35,
1,Holly Giddings,F,VIC,B,Raw,56,,40,,40,
2,Tracey Svrta,F,VIC,B,Raw,56,,37.5,,37.5,
3,Amy Congress,F,VIC,B,Raw,56,,32.5,,32.5,
5,Kate Guy,F,VIC,B,Raw,56,,25,,25,
6,Krystal Reyne,F,VIC,B,Raw,56,,22.5,,22.5,
1,Lisa Cruise,F,VIC,B,Raw,56,,40,,40,
1,Mandy Rudo,F,VIC,B,Raw,60,,27.5,,27.5,
1,Rebecca Stewart,F,VIC,B,Raw,60,,37.5,,37.5,
2,Irene McGowan,F,VIC,B,Raw,60,,35,,35,
3,Louise Philp,F,VIC,B,Raw,60,,32.5,,32.5,
4,Kerryn Wright,F,VIC,B,Raw,60,,30,,30,
5,Joanne Nolte,F,VIC,B,Raw,60,,25,,25,
1,Ilona Prevedello,F,VIC,B,Raw,67.5,,35,,35,
2,Jessica Melsen,F,VIC,B,Raw,67.5,,27.5,,27.5,
3,Amanda Pollock,F,VIC,B,Raw,67.5,,22.5,,22.5,
1,Louisa Prevedello,F,VIC,B,Raw,67.5,,42.5,,42.5,
1,Eden Edwards,F,VIC,B,Raw,75,,32.5,,32.5,
1,Sarah Hawkes,F,VIC,B,Raw,82.5,,45,,45,
1,Erin Hepworth,F,VIC,B,Raw,82.5,,40,,40,
