Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Donna Jaensch,F,,B,Raw,90+,,75,,75,
1,Dean Jenkinson,M,,SB,Raw,75,185,125,,310,
1,Laurie Agius,M,,B,Raw,75,,157.5,,157.5,
2,Troy Frisby,M,,B,Raw,82.5,,85,,85,
1,Sean Simpson,M,,SB,Raw,82.5,145,95,,240,
1,David Manhire,M,,B,Raw,82.5,,142.5,,142.5,
1,Jim Economos,M,,B,Raw,90,,152.5,,152.5,
1,David Thomas,M,,B,Raw,100,,135,,135,
2,Kevin Conway,M,,B,Raw,110,,125,,125,
1,James Harrap,M,,SB,Raw,100,185,137.5,,322.5,
