Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Jade Arnold,F,,SBD,Raw,56,25,57.5,107.5,190,
1,Nicki Gaylard,F,,SBD,Raw,60,120,81,130,331,
2,Rikki Flanders,F,,SBD,Raw,60,110,57.5,130,297.5,
1,Mary Medved,F,,SBD,Raw,67.5,130,62.5,130,322.5,
2,Sonja Rutherford,F,,SBD,Raw,67.5,95,52.5,127.5,275,
1,Nghiep Luu,M,,SBD,Raw,67.5,212.5,102.5,255.5,570.5,
2,David Kent,M,,SBD,Raw,67.5,220,137.5,202.5,560,
1,Neville Harris,M,,SBD,Raw,75,195,140,222.5,557.5,
2,Nalin Anand,M,,SBD,Raw,75,195,110,215,520,
3,Frank Dimasi,M,,SBD,Raw,75,145,82.5,175,402.5,
1,Achilles Kelepouris,M,,SBD,Raw,82.5,257.5,132.5,250,640,
2,Sean Trotter,M,,SBD,Raw,82.5,227.5,130,235,592.5,
3,John Rutherford,M,,SBD,Raw,82.5,130,80,150,360,
1,Brett Smartt,M,,SBD,Raw,90,222.5,145,220,587.5,
1,Vince Simonetta,M,,SBD,Raw,100,280,162.5,317.5,760,
2,Alan Mihaljevic,M,,SBD,Raw,100,270,152.5,295,717.5,
3,Fiore Inglese,M,,SBD,Raw,100,280,150,285,715,
4,Anthony Inglese,M,,SBD,Raw,100,230,130,250,610,
1,Frank Genua,M,,SBD,Raw,110,180,117.5,240,537.5,
1,Steve Giffin,M,,SBD,Raw,125,270,175,265,710,
2,Kevin Boatwood,M,,SBD,Raw,125,262.5,185.5,230,678,
3,Hayden Cook,M,,SBD,Raw,125,140,100,205,445,
