Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Jessica Mort,F,,B,Raw,67.5,,65,,65,
,Anne Mort,F,,B,Raw,75,,87.5,,87.5,
,Diane Hardwick,F,,B,Raw,90+,,55,,55,
,Paul Waters,M,,B,Raw,60,,85,,85,
,Greg Lancaster,M,,B,Raw,67.5,,82.5,,82.5,
,Max Bristow,M,,B,Raw,67.5,,113,,113,
,John Myers,M,,B,Raw,75,,157.5,,157.5,
,Denis Holden,M,,B,Raw,75,,115,,115,
,Keith Hardwick,M,,B,Raw,75,,85,,85,
,Ray Owen,M,,B,Raw,82.5,,130,,130,
,Thomas Hamilton,M,,B,Raw,82.5,,130,,130,
,Tony Somerville,M,,B,Raw,82.5,,140,,140,
,Mark Roskell,M,,B,Raw,90,,165,,165,
,Martin Reynolds,M,,B,Raw,90,,125,,125,
,Ernie Armstrong,M,,B,Raw,90,,105,,105,
,John Bray,M,,B,Raw,90,,100,,100,
,Maged Abdou,M,,B,Raw,100,,180,,180,
,Joshua Reynolds,M,,B,Raw,100,,100,,100,
,Murray Wilkinson,M,,B,Raw,125,,140,,140,
