Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Natalia Zacharko,F,,B,Raw,56,,66,,66,
,Barbara Hamilton,F,,B,Raw,60,,45,,45,
,Donna Jaensch,F,,B,Raw,90+,,75,,75,
,Aaron McFarlane,M,,B,Raw,67.5,,112.5,,112.5,
,Laurie Agius,M,,B,Raw,75,,152.5,,152.5,
,Troy Frisby,M,,B,Raw,82.5,,105,,105,
,David Manhire,M,,B,Raw,82.5,,150,,150,
,Graig Rogers,M,,B,Raw,82.5,,135,,135,
,Jim Economos,M,,B,Raw,90,,165,,165,
,Don Juers,M,,B,Raw,90,,127.5,,127.5,
,David Thomas,M,,B,Raw,100,,150,,150,
,Kevin Conway,M,,B,Raw,110,,190,,190,
,Steve Little,M,,B,Raw,125,,205,,205,
