Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Max Bristow,M,,SBD,Raw,67.5,180,105,232.5,517.5,
,John Myers,M,,SBD,Raw,75,215.5,150,240,605.5,
,Anne Mort,F,,SBD,Raw,75,157.5,102.5,160,420,
,Stewart Hine,M,,SBD,Raw,75,210,130,240,580,
,David Cheung,M,,SBD,Raw,82.5,200,125,215,540,
,Maurice Richardson,M,,SBD,Raw,82.5,180,107.5,180,467.5,
,Tom MacDonald,M,,SBD,Raw,82.5,140,115,160,415,
,Keith Hardwick,M,,SBD,Raw,82.5,125,90,175,390,
,Terry Power,M,,SBD,Raw,90,225,147.5,255,627.5,
,Adam Hobbs,M,,SBD,Raw,90,140,75,165,380,
,Diane Hardwick,F,,SBD,Raw,90+,60,55,115,230,
,Patrick Whymark,M,,SBD,Raw,100,280,175,280,735,
,John Mort,M,,SBD,Raw,100,252.5,150,215,617.5,
,Dustin Ducnell,M,,SBD,Raw,110,215,145,235,595,
,Murray Wilkinson,M,,SBD,Raw,125,227.5,150,215,592.5,
,Paul Waters,M,,B,Raw,60,,95,,95,
,Jessica Mort,F,,B,Raw,75,,65,,65,
,Tony Feltham,M,,B,Raw,75,,90,,90,
,Kenneth Wennel,M,,B,Raw,82.5,,102.5,,102.5,
,Martin Reynolds,M,,B,Raw,90,,125,,125,
,Ernie Armstrong,M,,B,Raw,100,,110,,110,
,Joshua Reynolds,M,,B,Raw,100,,102.5,,102.5,
,Strase Strojanoski,M,,B,Raw,110,,170,,170,
,Neil Wrightson,M,,B,Raw,110,,135,,135,
